recency_days,frequency,monetary,avg_order_value,num_returns,email_open_rate,days_since_signup,churned
277,41,2981.96,72.73,9,0.07,501,1
71,1,2684.54,2684.54,2,0.8,70,0
133,19,3857.45,203.02,0,0.62,507,1
170,13,4678.78,359.91,7,0.5,1420,1
182,29,4238.29,146.15,7,0.4,157,0
16,48,2579.05,53.73,2,0.31,761,0
199,6,4692.89,782.15,8,0.7,1646,1
57,33,2099.55,63.62,9,0.66,391,0
271,22,378.24,17.19,0,0.23,1189,1
249,23,671.96,29.22,5,0.34,637,1
336,47,4761.07,101.3,6,0.0,1721,1
272,36,4700.86,130.58,4,0.23,1398,1
134,5,4569.45,913.89,0,0.91,238,1
353,22,3759.91,170.9,4,0.82,1396,1
150,37,3399.62,91.88,9,0.86,1260,0
119,6,4189.72,698.29,5,0.07,595,1
330,25,2232.05,89.28,4,0.63,932,1
135,25,2741.24,109.65,7,0.61,583,0
28,4,4492.62,1123.16,0,0.66,874,0
171,47,293.32,6.24,2,0.26,1404,0
290,19,2820.64,148.45,9,0.98,1014,1
69,14,1912.18,136.58,7,0.47,1090,1
169,5,2782.27,556.45,6,0.07,1395,1
48,3,4786.77,1595.59,2,0.65,1255,0
250,10,3930.51,393.05,5,0.03,955,1
174,37,2388.01,64.54,7,0.63,1632,0
121,14,3407.26,243.38,0,0.04,905,1
83,23,2818.93,122.56,0,0.1,1787,0
206,33,993.93,30.12,3,0.37,1648,1
244,17,2285.7,134.45,4,0.34,369,1
343,20,563.35,28.17,8,0.16,360,1
160,24,2287.15,95.3,2,0.54,499,0
59,45,2202.62,48.95,5,0.51,906,0
304,46,3494.64,75.97,7,0.66,1687,0
230,15,1354.44,90.3,8,0.57,1588,1
255,13,1971.15,151.63,0,0.67,1259,1
36,20,2063.81,103.19,1,0.95,40,0
114,10,866.8,86.68,4,0.09,1353,1
280,28,3665.26,130.9,6,0.73,929,1
303,27,3349.71,124.06,9,0.51,245,1
159,23,2009.86,87.39,0,0.35,959,1
293,23,800.42,34.8,5,0.11,1441,1
307,43,3938.99,91.6,8,0.72,1791,1
142,8,3467.73,433.47,3,0.13,1649,1
327,38,3324.31,87.48,3,0.58,905,1
105,29,4728.36,163.05,8,0.31,64,0
88,39,4019.78,103.07,5,0.28,269,0
249,29,4494.64,154.99,7,0.12,1713,1
232,38,3804.79,100.13,9,0.88,312,1
51,30,3729.97,124.33,0,0.48,938,0
304,35,3794.43,108.41,5,0.63,330,1
73,21,4727.54,225.12,0,0.3,1507,0
293,44,2629.68,59.77,6,0.39,334,0
3,15,2058.38,137.23,1,0.13,1466,0
291,36,4806.36,133.51,7,0.69,438,1
287,17,4844.88,284.99,3,0.92,716,1
285,39,4363.38,111.88,2,0.66,1164,1
243,41,2877.62,70.19,2,0.9,1613,0
172,10,3137.38,313.74,5,0.01,746,1
257,31,2249.2,72.55,0,0.6,1507,1
101,26,1060.72,40.8,5,0.1,142,1
285,20,514.48,25.72,3,0.07,817,1
203,14,71.65,5.12,5,0.95,37,1
168,31,1072.58,34.6,1,0.93,163,0
185,41,2696.68,65.77,6,0.82,164,0
208,18,4508.33,250.46,7,0.5,240,1
14,17,2083.02,122.53,8,0.56,797,0
51,43,3207.87,74.6,6,0.69,831,0
90,38,2318.36,61.01,7,0.82,1732,0
42,36,78.23,2.17,3,0.69,420,0
161,30,2143.71,71.46,6,0.06,430,1
244,5,1860.48,372.1,3,0.19,723,1
239,8,1589.57,198.7,1,0.68,176,1
172,3,1535.66,511.89,2,0.53,1089,1
312,16,770.16,48.14,7,0.1,1781,1
206,2,2921.98,1460.99,1,0.52,704,1
29,24,4018.14,167.42,7,0.7,1595,0
279,2,4166.25,2083.12,3,0.52,1488,1
210,49,1349.61,27.54,5,0.16,286,0
232,25,1442.05,57.68,0,0.47,1230,1
206,1,1427.99,1427.99,9,0.32,230,1
202,9,812.43,90.27,4,0.72,1153,1
33,10,3124.35,312.44,3,0.27,103,1
204,34,741.01,21.79,9,0.14,715,1
290,38,1996.75,52.55,4,0.62,300,1
111,24,2717.9,113.25,8,0.64,89,0
220,36,3389.62,94.16,0,0.16,365,1
12,5,4837.0,967.4,9,0.35,484,1
127,16,4087.52,255.47,8,0.0,360,1
159,1,1975.07,1975.07,2,0.42,1771,1
358,20,4145.22,207.26,0,0.48,1725,1
79,2,1410.57,705.28,4,0.39,489,0
101,39,3396.6,87.09,8,0.18,325,1
149,27,1038.54,38.46,7,0.99,1167,0
362,37,2189.63,59.18,0,0.66,904,1
311,29,3074.31,106.01,3,0.52,128,1
13,2,4061.16,2030.58,7,0.85,365,0
86,18,4656.21,258.68,1,0.26,221,1
300,1,4898.86,4898.86,8,0.16,557,1
22,4,4233.6,1058.4,5,0.44,481,0
312,47,967.62,20.59,8,0.8,1260,1
103,46,4254.4,92.49,9,0.69,1777,0
335,6,2932.12,488.69,8,0.26,608,1
107,20,1874.39,93.72,7,0.36,1415,1
159,15,1521.66,101.44,7,0.64,1339,1
241,22,3609.61,164.07,2,0.87,820,1
46,30,2157.72,71.92,1,0.71,1120,0
203,19,4318.24,227.28,2,0.43,1357,1
184,40,4730.15,118.25,1,0.25,160,0
286,3,4453.59,1484.53,0,0.47,1634,1
363,29,2325.64,80.19,5,0.04,1399,1
242,35,4415.26,126.15,6,0.15,289,1
149,28,2996.76,107.03,3,0.38,1733,1
148,33,929.09,28.15,0,0.69,1224,0
153,31,449.84,14.51,8,0.93,1137,0
297,9,232.8,25.87,4,0.22,1267,1
117,39,216.81,5.56,1,0.4,1154,0
61,14,4086.72,291.91,8,0.65,544,0
122,9,669.55,74.39,4,0.38,381,1
9,27,4435.04,164.26,6,0.88,1813,0
39,32,1475.52,46.11,6,0.39,1418,0
33,19,4963.17,261.22,5,0.83,1134,0
281,3,2194.07,731.36,3,1.0,1233,1
263,49,763.36,15.58,1,0.09,882,0
254,40,1145.64,28.64,9,0.16,1063,1
169,25,1076.26,43.05,0,0.11,40,1
262,18,821.63,45.65,2,0.32,262,1
59,44,3981.97,90.5,5,0.44,101,0
328,18,723.26,40.18,8,0.42,1230,1
183,11,2430.46,220.95,9,0.75,1686,1
342,13,4105.35,315.8,3,0.93,1094,1
56,28,3019.95,107.86,3,0.82,899,0
182,37,3756.07,101.52,0,0.76,497,0
254,16,555.17,34.7,4,0.62,626,1
181,10,4142.72,414.27,5,0.73,209,0
163,46,2993.15,65.07,3,0.74,160,0
61,5,32.43,6.49,8,0.06,187,1
139,28,4116.88,147.03,2,0.99,174,0
87,9,3288.04,365.34,6,0.64,1028,1
110,33,88.68,2.69,1,0.41,923,0
249,19,3934.86,207.1,0,0.1,788,1
230,4,4937.19,1234.3,5,0.93,1014,1
222,9,3252.45,361.38,4,0.08,368,1
132,24,4234.96,176.46,0,0.76,1569,0
350,8,4301.79,537.72,7,0.39,1139,1
32,29,4977.35,171.63,4,0.69,1240,0
125,40,1276.78,31.92,3,0.64,1807,0
43,15,2396.53,159.77,3,0.28,1670,0
124,46,2003.62,43.56,4,0.96,1076,0
351,37,3502.82,94.67,1,0.12,1245,1
134,5,3176.03,635.21,8,0.05,693,1
331,23,2277.28,99.01,5,0.85,1019,1
181,28,4649.77,166.06,8,0.51,101,1
255,28,4514.62,161.24,4,0.44,1229,1
167,23,660.13,28.7,2,0.33,975,1
97,18,2277.29,126.52,0,0.07,862,1
279,28,44.23,1.58,2,0.05,1324,1
353,34,2946.91,86.67,5,0.07,1701,1
96,42,4316.6,102.78,2,0.05,441,0
284,6,3129.47,521.58,2,0.21,1140,1
96,7,1607.3,229.61,9,0.09,1659,1
261,25,4591.07,183.64,5,0.24,1755,1
288,21,4277.62,203.7,1,0.17,1166,1
164,44,4410.39,100.24,8,0.56,587,0
269,29,3701.23,127.63,3,0.22,988,1
100,12,441.82,36.82,0,0.47,679,0
29,42,2920.53,69.54,4,0.09,481,0
36,43,2782.11,64.7,5,0.27,1542,0
163,3,4657.28,1552.43,3,0.66,1442,1
329,44,4010.45,91.15,2,0.17,1024,1
47,18,1232.52,68.47,0,0.47,471,0
166,12,3790.07,315.84,4,0.63,210,1
257,6,1886.53,314.42,7,0.43,1039,1
74,4,1906.5,476.62,1,0.99,1206,0
263,3,4564.19,1521.4,7,0.16,1538,1
112,38,409.85,10.79,7,0.35,1046,1
295,45,858.48,19.08,3,0.4,604,1
211,47,2078.52,44.22,0,0.44,124,0
200,26,2224.18,85.55,2,0.11,1747,1
65,13,4544.01,349.54,2,0.65,303,0
169,44,3169.3,72.03,9,0.85,1194,0
312,45,2865.93,63.69,6,0.99,1561,0
8,20,3588.57,179.43,7,0.58,855,0
277,11,340.14,30.92,6,0.15,1210,1
180,42,2643.79,62.95,6,0.09,324,1
262,18,3430.7,190.59,8,0.41,182,1
242,27,4266.67,158.02,3,0.09,1077,1
158,44,92.15,2.09,8,0.37,1087,0
113,9,1330.77,147.86,5,0.99,238,1
229,15,1075.07,71.67,2,0.4,1441,1
52,11,4314.17,392.2,3,0.27,1040,1
213,38,1976.47,52.01,9,0.41,780,0
35,6,4741.54,790.26,7,0.57,539,1
237,8,3812.2,476.52,8,0.26,61,1
229,17,4313.45,253.73,4,0.5,1068,1
31,19,4190.04,220.53,6,0.98,1147,0
276,37,798.02,21.57,2,0.27,271,1
152,47,254.93,5.42,1,0.4,847,0
287,30,2933.29,97.78,5,0.42,1463,1
16,12,369.01,30.75,7,0.83,1810,0
66,33,2859.44,86.65,4,0.53,1763,0
180,35,1189.11,33.97,7,0.89,663,0
69,5,4741.62,948.32,2,0.77,592,0
121,46,2234.03,48.57,7,0.65,1448,0
241,26,3140.92,120.8,6,0.01,1119,1
53,39,2987.24,76.6,2,0.46,1146,0
247,3,4616.6,1538.87,5,0.84,534,1
38,47,4113.62,87.52,4,0.97,852,0
64,48,3962.36,82.55,3,0.91,397,0
214,47,1609.86,34.25,6,0.87,1294,0
289,26,1749.77,67.3,6,0.62,1733,1
63,6,1885.79,314.3,1,0.27,254,1
110,23,1862.33,80.97,0,0.53,1511,0
337,30,4411.2,147.04,6,0.64,237,1
361,22,2427.97,110.36,0,0.81,1089,1
212,21,3330.51,158.6,0,0.11,1392,1
163,18,1139.09,63.28,8,0.03,230,1
127,34,4934.42,145.13,4,0.14,1101,0
223,29,4807.76,165.78,4,0.76,1717,1
216,37,3023.66,81.72,5,0.73,764,1
108,4,4604.53,1151.13,0,0.83,416,0
9,13,4172.59,320.97,7,0.35,1253,0
56,44,475.44,10.81,3,0.92,1055,0
349,40,4850.14,121.25,9,0.12,231,1
153,34,1513.81,44.52,7,0.33,261,1
176,21,1031.08,49.1,4,0.76,151,0
171,21,4952.67,235.84,4,0.66,936,1
285,33,520.87,15.78,4,0.28,1598,1
24,38,3211.26,84.51,4,0.63,598,0
31,21,4663.68,222.08,3,0.78,1016,0
101,44,4955.73,112.63,9,0.45,807,0
178,17,4368.96,257.0,6,0.23,647,1
245,16,4503.27,281.45,2,0.87,909,1
179,35,2399.91,68.57,7,0.34,300,1
161,39,4783.49,122.65,6,0.95,138,0
342,27,979.27,36.27,8,0.88,1532,1
59,47,1283.58,27.31,7,0.24,1279,0
209,42,1060.88,25.26,0,0.53,1179,0
198,11,3478.94,316.27,1,0.57,698,1
173,39,180.92,4.64,1,0.06,340,0
294,40,1131.88,28.3,0,0.38,915,1
98,43,2266.05,52.7,6,0.6,980,0
348,26,1829.28,70.36,2,0.43,1235,1
121,38,29.04,0.76,4,0.86,1170,0
199,36,1163.72,32.33,4,0.39,759,1
190,45,277.15,6.16,6,0.28,974,0
310,15,1172.38,78.16,5,0.96,1264,1
160,8,2574.68,321.83,6,0.85,658,1
104,38,1814.72,47.76,7,0.79,1723,0
8,32,4126.59,128.96,6,0.15,792,0
133,48,1897.88,39.54,6,0.43,1351,0
301,5,2003.04,400.61,0,0.12,1002,1
4,2,1582.05,791.02,9,0.16,1238,1
327,25,791.39,31.66,5,0.86,1745,1
198,30,1017.57,33.92,1,0.25,30,0
52,43,4636.13,107.82,7,0.52,473,0
110,33,2546.63,77.17,2,0.68,1199,0
202,36,4561.92,126.72,2,0.04,1291,1
115,20,2998.71,149.94,5,0.35,1093,1
40,29,1728.98,59.62,3,0.71,503,0
243,7,4946.06,706.58,1,0.45,1704,1
245,35,345.93,9.88,9,0.6,1039,1
44,7,4622.38,660.34,6,0.05,1781,1
103,9,2100.83,233.43,2,0.43,785,0
89,9,3960.4,440.04,8,0.85,1471,0
241,46,4020.74,87.41,8,0.66,142,0
266,9,1540.84,171.2,5,0.88,526,1
265,11,404.51,36.77,1,0.05,196,1
342,49,3942.63,80.46,4,0.56,280,1
280,9,3681.11,409.01,9,0.37,1321,1
117,27,1335.11,49.45,2,0.18,493,0
40,7,4234.54,604.93,9,0.61,1249,1
224,22,2768.94,125.86,5,0.86,1026,1
334,46,3820.08,83.05,5,0.19,699,1
355,17,2380.93,140.05,4,0.59,629,1
84,23,470.11,20.44,2,0.91,583,0
87,43,438.11,10.19,5,0.2,1069,0
14,27,3369.34,124.79,4,0.85,1798,0
52,47,4994.91,106.27,4,0.04,851,0
202,19,3878.02,204.11,7,0.08,689,1
200,12,2308.15,192.35,4,0.77,1399,1
136,2,4379.76,2189.88,3,0.26,1547,1
113,20,2433.98,121.7,5,0.64,1391,0
303,4,2842.91,710.73,1,0.82,468,1
168,29,1676.99,57.83,6,0.5,1399,0
295,1,3397.01,3397.01,7,0.44,482,1
351,6,2853.39,475.56,1,0.07,963,1
116,27,4702.64,174.17,2,0.65,1087,0
74,30,1985.35,66.18,2,0.6,393,0
347,10,2468.37,246.84,2,0.25,278,1
232,37,874.13,23.63,5,0.13,702,1
106,20,3861.59,193.08,2,0.64,426,0
227,10,4915.84,491.58,6,0.85,829,1
188,23,4891.65,212.68,6,0.79,1789,1
330,46,2392.37,52.01,3,0.13,1579,1
94,27,2652.14,98.23,4,0.21,1766,0
361,42,1504.87,35.83,2,0.01,1542,1
341,44,4853.68,110.31,7,0.61,250,1
66,12,586.33,48.86,9,0.79,667,0
60,3,3891.9,1297.3,5,0.21,143,1
195,33,2805.06,85.0,1,0.97,129,0
17,25,3230.07,129.2,1,0.74,1634,0
109,18,3165.88,175.88,5,0.31,321,1
159,7,2187.48,312.5,6,0.34,840,1
353,8,2606.55,325.82,7,0.16,320,1
362,46,3490.34,75.88,6,0.61,1795,1
56,8,4755.75,594.47,0,0.61,1124,1
325,45,2047.85,45.51,9,0.05,1236,1
34,14,2234.73,159.62,9,0.48,605,0
273,7,886.26,126.61,5,0.91,1010,1
308,26,3369.49,129.6,0,0.81,1170,1
325,6,4591.86,765.31,9,0.88,58,1
82,14,2666.49,190.46,9,0.2,1711,1
326,6,1205.87,200.98,1,0.36,734,1
43,1,2320.66,2320.66,6,0.84,592,1
189,5,2376.76,475.35,3,0.63,1086,1
171,48,1194.27,24.88,6,0.36,69,0
115,8,2791.29,348.91,6,0.16,1324,1
9,11,3085.6,280.51,6,0.86,1761,0
282,8,1280.27,160.03,0,0.01,1606,1
123,4,2273.75,568.44,3,0.1,1121,1
241,9,3258.86,362.1,2,0.16,1118,1
150,6,4540.23,756.7,3,0.58,689,1
137,8,456.63,57.08,5,0.47,608,1
323,23,4488.83,195.17,1,0.95,823,1
35,19,676.57,35.61,9,0.68,291,0
269,9,2472.34,274.7,2,0.61,1344,1
272,13,4403.23,338.71,9,0.95,1373,1
139,23,4601.3,200.06,2,0.0,613,1
96,21,3955.63,188.36,3,0.89,1589,0
2,6,477.08,79.51,8,0.22,463,1
341,44,1579.8,35.9,2,0.21,324,1
345,20,973.49,48.67,9,0.04,1712,1
88,18,2609.07,144.95,6,0.34,221,1
12,29,1960.24,67.59,4,0.22,1753,0
45,15,4593.65,306.24,9,0.11,1426,0
25,31,1202.55,38.79,6,0.87,155,0
303,45,4240.38,94.23,4,0.41,140,1
325,42,1795.87,42.76,4,0.56,407,1
56,16,4358.09,272.38,6,0.7,1505,0
272,5,1296.31,259.26,1,0.41,1183,1
66,6,2097.72,349.62,0,0.89,1317,0
134,11,1928.62,175.33,7,0.38,1785,1
219,31,3812.19,122.97,0,0.9,773,1
263,25,3107.29,124.29,6,0.36,813,1
319,14,4712.95,336.64,0,0.54,473,1
17,10,804.61,80.46,6,0.62,469,0
72,26,4999.67,192.3,4,0.16,1082,0
103,48,458.65,9.56,0,0.66,1296,0
113,38,2681.52,70.57,2,0.23,299,0
364,13,1044.67,80.36,0,0.13,1422,1
283,28,2409.89,86.07,5,0.76,204,1
117,25,3819.75,152.79,4,0.53,1175,0
354,40,2399.31,59.98,5,0.89,737,1
182,17,4282.73,251.93,0,0.08,1559,1
183,17,3531.81,207.75,8,0.67,47,0
158,22,2561.8,116.45,4,0.85,1525,1
53,9,4714.58,523.84,6,0.52,1309,0
341,43,4047.23,94.12,5,0.95,1157,1
6,20,4752.89,237.64,5,0.66,741,0
64,43,2706.35,62.94,4,0.64,1317,0
84,21,4673.96,222.57,3,0.49,555,0
102,34,722.53,21.25,6,0.25,1323,0
48,36,4695.42,130.43,4,0.16,312,0
7,39,2551.08,65.41,1,0.67,864,0
247,34,33.39,0.98,2,0.32,176,1
353,34,4054.68,119.26,2,0.92,632,1
45,16,4465.36,279.08,3,0.34,499,0
108,4,2797.74,699.44,5,0.38,205,1
185,46,2234.85,48.58,8,0.56,951,0
338,42,4394.34,104.63,8,0.45,188,1
253,14,266.13,19.01,4,0.08,995,1
279,2,4242.45,2121.22,2,0.2,1165,1
212,49,3540.87,72.26,2,0.72,36,0
152,5,3014.99,603.0,5,0.48,1425,1
73,2,2936.95,1468.48,0,0.34,1176,1
315,49,1384.71,28.26,7,0.8,302,1
293,34,996.08,29.3,0,0.71,1039,1
10,30,2918.01,97.27,1,0.23,1537,0
261,31,1768.73,57.06,6,0.44,867,1
31,37,1295.86,35.02,8,0.11,1402,0
269,29,2876.57,99.19,1,0.61,221,1
301,37,2716.86,73.43,9,0.06,817,1
48,39,1632.89,41.87,7,0.13,1279,0
158,11,3205.77,291.43,5,0.26,1405,1
46,29,249.16,8.59,3,0.23,262,0
207,17,4558.45,268.14,2,0.94,268,1
338,30,708.56,23.62,1,0.37,539,1
30,9,4406.77,489.64,7,0.33,1513,0
145,43,2284.0,53.12,4,0.8,651,0
355,14,3848.5,274.89,9,0.98,203,1
110,10,3208.37,320.84,2,0.33,1791,1
49,6,2711.88,451.98,3,0.33,1422,1
178,27,4341.45,160.79,8,0.77,126,1
186,18,852.12,47.34,4,0.29,1183,1
242,35,4938.38,141.1,9,0.78,944,0
115,21,4084.1,194.48,7,0.09,1520,1
348,16,4654.46,290.9,0,0.94,715,1
190,16,4841.89,302.62,8,0.17,454,1
105,11,988.03,89.82,9,0.81,132,1
350,35,4860.63,138.88,1,0.53,1497,1
337,7,2864.46,409.21,8,0.03,1790,1
182,45,2992.99,66.51,5,0.47,832,0
10,13,1427.2,109.78,2,0.76,1690,0
218,1,961.9,961.9,4,0.65,850,1
203,33,874.55,26.5,0,0.36,237,0
54,35,168.56,4.82,6,0.46,927,0
231,31,1827.23,58.94,2,0.05,138,1
307,18,4098.17,227.68,3,1.0,1430,1
39,9,3692.19,410.24,8,0.72,1279,0
264,43,170.37,3.96,1,0.75,1770,1
52,25,4057.83,162.31,9,0.06,655,0
273,24,2790.94,116.29,9,0.12,758,1
153,11,1481.49,134.68,5,0.43,1631,1
3,39,2487.43,63.78,8,0.04,256,0
352,46,105.15,2.29,5,0.16,187,1
61,32,2217.96,69.31,1,0.64,1101,0
217,36,1452.95,40.36,3,0.09,973,1
67,35,3072.45,87.78,1,0.34,370,0
340,9,3993.09,443.68,7,0.36,775,1
269,23,2673.25,116.23,4,0.31,1645,1
293,15,3121.43,208.1,9,0.05,1534,1
158,20,4894.42,244.72,5,0.52,1205,0
171,42,3662.51,87.2,2,0.7,485,0
231,41,997.77,24.34,8,0.01,1208,1
286,28,4817.22,172.04,8,0.11,407,1
309,6,1255.77,209.3,6,0.81,1564,1
7,18,2460.55,136.7,4,0.6,1722,0
242,36,4139.73,114.99,8,0.6,1781,1
40,30,2596.82,86.56,7,0.34,1773,0
105,28,4028.2,143.86,0,0.53,31,0
302,20,3110.28,155.51,9,0.57,75,1
92,48,3956.1,82.42,3,0.36,262,0
291,45,1776.64,39.48,3,0.46,698,1
169,32,4886.2,152.69,8,0.96,827,0
85,43,2313.01,53.79,8,0.02,1073,0
122,9,2609.62,289.96,9,0.93,982,1
194,8,2303.68,287.96,5,0.15,1269,1
279,35,558.1,15.95,0,0.51,1583,1
221,34,589.38,17.33,5,0.83,34,0
340,12,250.6,20.88,4,0.18,380,1
316,42,3834.22,91.29,9,0.4,1417,1
275,37,873.13,23.6,0,1.0,1409,0
220,11,3950.82,359.17,8,0.1,988,1
106,30,4592.34,153.08,5,0.36,1276,0
151,43,1118.03,26.0,6,0.73,570,0
44,38,799.04,21.03,9,0.8,1714,0
137,21,4325.02,205.95,9,0.59,338,1
338,41,4897.27,119.45,7,0.35,948,1
156,16,4199.12,262.44,4,0.73,1391,1
42,48,1742.25,36.3,8,0.91,1579,0
238,49,2655.1,54.19,1,0.58,1634,0
351,15,1503.52,100.23,4,0.33,1797,1
316,34,2718.51,79.96,0,0.87,700,0
100,48,2165.32,45.11,7,0.54,495,0
166,15,4199.43,279.96,0,0.01,813,1
194,36,4681.33,130.04,9,0.63,1335,1
91,26,1687.45,64.9,8,0.12,1305,1
98,22,4879.73,221.81,4,0.15,1306,0
87,32,4277.8,133.68,6,0.87,1555,0
363,24,4061.19,169.22,6,0.47,1407,1
272,35,4844.17,138.4,1,0.7,1253,1
307,48,1187.53,24.74,2,0.78,83,1
298,11,2697.22,245.2,3,0.45,43,1
350,9,4866.25,540.69,8,0.62,1024,1
39,31,2846.13,91.81,2,0.24,478,0
321,48,60.83,1.27,0,0.51,1815,1
25,42,3978.92,94.74,4,0.21,521,0
174,20,4620.92,231.05,5,0.41,1107,1
217,40,2625.93,65.65,6,0.46,752,0
131,45,3970.41,88.23,1,0.17,1465,0
54,15,1764.33,117.62,7,0.17,1702,1
70,6,4675.01,779.17,8,0.1,149,1
301,48,39.06,0.81,1,0.31,822,1
117,8,1970.0,246.25,2,0.8,275,0
113,1,2295.62,2295.62,1,0.97,428,0
337,16,3739.3,233.71,5,0.37,1720,1
53,39,1076.12,27.59,2,0.58,524,0
334,37,369.59,9.99,6,0.15,1397,1
336,16,4369.99,273.12,2,0.87,354,1
218,34,1390.57,40.9,4,0.36,1366,1
61,47,3266.31,69.5,9,0.16,1064,0
57,1,3311.4,3311.4,2,0.46,630,1
104,43,4837.19,112.49,7,0.42,376,0
211,30,4758.3,158.61,9,0.1,1737,1
56,44,148.98,3.39,8,0.34,1397,0
166,3,705.54,235.18,2,0.09,436,1
43,13,837.25,64.4,0,0.17,878,0
197,19,3790.3,199.49,4,0.07,86,1
8,40,3282.54,82.06,9,0.64,1483,0
259,34,1371.81,40.35,7,0.88,1348,1
21,17,2732.83,160.75,4,0.04,893,1
71,12,3306.48,275.54,6,0.28,1411,0
64,22,1557.96,70.82,4,0.28,410,1
303,9,3085.1,342.79,9,0.8,1594,1
20,45,867.23,19.27,2,0.22,791,0
157,41,3035.03,74.03,6,0.95,707,0
216,36,3766.94,104.64,2,0.09,1772,1
188,24,3542.58,147.61,9,0.21,1440,1
248,32,403.99,12.62,1,0.89,868,1
293,13,1383.52,106.42,5,0.38,903,1
144,7,4765.5,680.79,0,0.22,1485,1
302,12,1419.06,118.26,1,0.15,489,1
116,27,484.64,17.95,1,0.96,364,0
359,47,1358.86,28.91,3,0.36,412,1
184,7,3268.74,466.96,0,0.36,341,1
268,15,4928.21,328.55,1,0.18,1180,1
319,4,4048.5,1012.12,3,0.42,1426,1
289,22,3238.64,147.21,9,0.02,1158,1
310,47,2531.57,53.86,1,0.53,1646,0
196,3,122.93,40.98,6,0.63,674,1
16,30,2175.28,72.51,7,0.03,935,1
180,8,1402.33,175.29,2,0.04,802,1
67,1,1277.87,1277.87,8,0.83,1177,1
324,27,1790.07,66.3,7,0.09,111,1
87,23,4631.62,201.37,7,0.3,562,0
84,45,2120.4,47.12,2,0.82,1670,0
91,15,1271.76,84.78,6,0.86,1415,0
234,32,3135.51,97.98,4,0.41,1498,1
208,8,3946.57,493.32,4,0.65,1344,1
346,29,588.66,20.3,4,0.66,268,1
152,41,2575.87,62.83,7,0.76,532,0
103,19,3969.53,208.92,8,0.69,1410,1
18,8,1166.87,145.86,2,0.74,902,0
3,25,2792.18,111.69,0,0.91,1662,0
136,9,123.72,13.75,0,0.77,479,1
337,32,1715.92,53.62,2,0.49,273,1
191,12,2329.86,194.16,0,0.22,1069,1
326,33,2614.71,79.23,7,0.84,202,1
38,35,3388.42,96.81,2,0.45,821,0
34,49,4091.3,83.5,7,0.91,559,0
304,10,3577.04,357.7,0,0.62,488,1
39,46,113.42,2.47,2,0.42,1170,0
19,16,1416.74,88.55,4,0.81,1456,0
148,8,4461.76,557.72,3,0.69,983,1
337,45,3917.24,87.05,7,0.45,1256,1
251,28,4664.04,166.57,4,0.85,1144,0
37,28,1904.57,68.02,4,0.48,1653,0
305,15,4232.14,282.14,5,0.58,1145,1
308,9,2879.11,319.9,1,0.82,1819,1
292,4,2613.56,653.39,8,0.55,93,1
329,43,4853.67,112.88,2,0.79,575,0
88,2,2399.8,1199.9,6,0.51,599,1
357,26,2814.7,108.26,4,0.56,1261,1
117,14,3616.29,258.31,6,0.1,1362,1
